Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Rank,Genre,Cluster,Cluster_overall
think like a monk the secret of how to harness the power of positivity and be happy now,jay shetty,4.9,371.0,1002,past three years jay shetty become one world ’ popular influencers one clips watched video facebook last year 360 million views social media following totals 32 million produced 400 viral videos amassed five billion views podcast purpose consistently ranked world ’ number one health-related podcast,10 hours and 54 minutes,",#1 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Success,#1 in Stress Management,#2 in Society & Culture (Books)",1,"personal success,society culture,stress management",7,0
ikigai the japanese secret to a long and happy life,héctor garcía,4.6,1481.8928778228144,615,brought penguin,3 hours and 23 minutes,",#2 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Meditation (Audible Audiobooks & Originals),#1 in Self-Esteem,#2 in Personal Success",2,"meditation,personal success,selfesteem",8,4
the subtle art of not giving a fck a counterintuitive approach to living a good life,mark manson,4.4,1481.8928778228144,1002,generation-defining self-help guide superstar blogger cuts crap show us stop trying positive time truly become better happier people,5 hours and 17 minutes,",#3 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Personal Success,#16 in Personal Development & Self-Help",3,"personal development selfhelp,personal success",9,5
atomic habits an easy and proven way to build good habits and break bad ones,james clear,4.6,1481.8928778228144,888,brought penguin,5 hours and 35 minutes,",#5 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Psychology (Audible Audiobooks & Originals),#3 in Stress Management,#4 in Personal Success",5,"personal success,psychology,stress management",8,4
lifes amazing secrets how to find balance and purpose in your life,gaur gopal das,4.6,1481.8928778228144,1005,stop going life start growing life,6 hours and 25 minutes,",#6 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Literary Essays,#1 in Essays (Books),#1 in Spiritualism",6,"essays,literary essays,spiritualism",9,4
sapiens,yuval noah harari,4.6,1481.8928778228144,1093,fire gave us power farming made us hungry money gave us purpose science made us deadly,15 hours and 18 minutes,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)",4,"anthropology,anthropology,history of civilization",0,0
sapiens,yuval noah harari,4.6,1481.8928778228144,1093,fire gave us power farming made us hungry money gave us purpose science made us deadly,15 hours and 18 minutes,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)",4,"anthropology,anthropology,history of civilization",0,0
extraordinary leadership,robin sharma,4.1,179.0,0,completing purchase agree audible ’ conditions use amazons privacy notice applicable audibles recurring payment terms,1 hour and 6 minutes,",#1 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Leadership,#1 in Business Careers",1,"business careers,leadership",1,7
the intelligent investor rev ed,benjamin graham,4.4,1481.8928778228144,1002,classic text annotated update grahams timeless wisdom todays market conditions,17 hours and 48 minutes,",#7 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Finance,#1 in Investing & Trading,#4 in Analysis & Strategy",7,"analysis strategy,investing trading,personal finance",7,5
rich dad poor dad what the rich teach their kids about money that the poor and middle class do not,robert t kiyosaki,4.5,1481.8928778228144,837,rich dad poor dad will…,6 hours and 9 minutes,",#9 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Personal Finance,#2 in Investing & Trading,#39 in Personal Development & Self-Help",9,"investing trading,personal development selfhelp,personal finance",0,4
the 5am club own your morning elevate your life,robin sharma,4.4,1481.8928778228144,1002,legendary leadership elite performance expert robin sharma introduced 5am club concept 20 years ago based revolutionary morning routine helped clients maximise productivity activate best health bulletproof serenity age overwhelming complexity,11 hours and 4 minutes,",#8 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sleep Disorders,#6 in Personal Success,#8 in Healthy Living & Wellness",8,"healthy living wellness,personal success,sleep disorders",7,5
